Palavra,Artista,Quantidade_y,Quantidade_total,Gênero,Década de nascimento,UF de nascimento,Nome
to samba,orlando-silva,21,6306,Man,1910-1919,RJ,Orlando Silva
Holy,orlando-silva,3,780,Man,1910-1919,RJ,Orlando Silva
miss,orlando-silva,29,2670,Man,1910-1919,RJ,Orlando Silva
follow,orlando-silva,7,771,Man,1910-1919,RJ,Orlando Silva
ever,orlando-silva,18,3360,Man,1910-1919,RJ,Orlando Silva
Mr,orlando-silva,9,1178,Man,1910-1919,RJ,Orlando Silva
to feel,orlando-silva,24,3125,Man,1910-1919,RJ,Orlando Silva
remain,orlando-silva,3,608,Man,1910-1919,RJ,Orlando Silva
to suffer,orlando-silva,20,2090,Man,1910-1919,RJ,Orlando Silva
Sun,orlando-silva,9,2154,Man,1910-1919,RJ,Orlando Silva
loneliness,orlando-silva,9,878,Man,1910-1919,RJ,Orlando Silva
sound,orlando-silva,3,643,Man,1910-1919,RJ,Orlando Silva
to dream,orlando-silva,15,2462,Man,1910-1919,RJ,Orlando Silva
dream,orlando-silva,12,1098,Man,1910-1919,RJ,Orlando Silva
to smile,orlando-silva,9,1303,Man,1910-1919,RJ,Orlando Silva
smile,orlando-silva,6,896,Man,1910-1919,RJ,Orlando Silva
to sweat,orlando-silva,13,3445,Man,1910-1919,RJ,Orlando Silva
move up,orlando-silva,2,519,Man,1910-1919,RJ,Orlando Silva
delay,orlando-silva,3,608,Man,1910-1919,RJ,Orlando Silva
time,orlando-silva,7,3470,Man,1910-1919,RJ,Orlando Silva
to try,orlando-silva,5,1107,Man,1910-1919,RJ,Orlando Silva
Earth,orlando-silva,9,1295,Man,1910-1919,RJ,Orlando Silva
touch,orlando-silva,3,1207,Man,1910-1919,RJ,Orlando Silva
to take,orlando-silva,2,897,Man,1910-1919,RJ,Orlando Silva
to work,orlando-silva,3,743,Man,1910-1919,RJ,Orlando Silva
bring,orlando-silva,4,1614,Man,1910-1919,RJ,Orlando Silva
sad,orlando-silva,37,1063,Man,1910-1919,RJ,Orlando Silva
sadness,orlando-silva,18,1071,Man,1910-1919,RJ,Orlando Silva
worth,orlando-silva,5,1283,Man,1910-1919,RJ,Orlando Silva
old,orlando-silva,7,1101,Man,1910-1919,RJ,Orlando Silva
blow,orlando-silva,3,911,Man,1910-1919,RJ,Orlando Silva
to see,orlando-silva,30,9632,Man,1910-1919,RJ,Orlando Silva
truth,orlando-silva,8,1075,Man,1910-1919,RJ,Orlando Silva
life,orlando-silva,44,6401,Man,1910-1919,RJ,Orlando Silva
turn,orlando-silva,1,1109,Man,1910-1919,RJ,Orlando Silva
to live,orlando-silva,28,4828,Man,1910-1919,RJ,Orlando Silva
fly,orlando-silva,1,593,Man,1910-1919,RJ,Orlando Silva
come back,orlando-silva,16,3429,Man,1910-1919,RJ,Orlando Silva
will,orlando-silva,3,833,Man,1910-1919,RJ,Orlando Silva
voice,orlando-silva,10,1099,Man,1910-1919,RJ,Orlando Silva
Water,orlando-silva,5,1388,Man,1910-1919,RJ,Orlando Silva
to hug,os-morenos,11,742,Group,,,Os Morenos
to finish,os-morenos,5,1832,Group,,,Os Morenos
happen,os-morenos,2,929,Group,,,Os Morenos
wake up,os-morenos,1,698,Group,,,Os Morenos
to believe,os-morenos,2,756,Group,,,Os Morenos
now,os-morenos,12,2881,Group,,,Os Morenos
love,os-morenos,32,9816,Group,,,Os Morenos
cozying,os-morenos,4,701,Group,,,Os Morenos
friend,os-morenos,2,635,Group,,,Os Morenos
love,os-morenos,68,31458,Group,,,Os Morenos
walk,os-morenos,6,1990,Group,,,Os Morenos
year,os-morenos,2,667,Group,,,Os Morenos
love,os-morenos,3,714,Group,,,Os Morenos
learn,os-morenos,2,704,Group,,,Os Morenos
bahia,os-morenos,1,658,Group,,,Os Morenos
to swing,os-morenos,4,668,Group,,,Os Morenos
to knock,os-morenos,2,1694,Group,,,Os Morenos
drink,os-morenos,1,983,Group,,,Os Morenos
kiss,os-morenos,3,1982,Group,,,Os Morenos
beauty,os-morenos,4,765,Group,,,Os Morenos
beautiful,os-morenos,4,561,Group,,,Os Morenos
mouth,os-morenos,7,1198,Group,,,Os Morenos
trundle,os-morenos,1,545,Group,,,Os Morenos
Good,os-morenos,1,3691,Group,,,Os Morenos
beautiful,os-morenos,2,1166,Group,,,Os Morenos
Brazilian,os-morenos,1,549,Group,,,Os Morenos
fight,os-morenos,14,610,Group,,,Os Morenos
shine,os-morenos,1,921,Group,,,Os Morenos
to play,os-morenos,3,742,Group,,,Os Morenos
head,os-morenos,1,760,Group,,,Os Morenos
to fall,os-morenos,1,1544,Group,,,Os Morenos
heat,os-morenos,3,629,Group,,,Os Morenos
walk,os-morenos,4,1179,Group,,,Os Morenos
weary,os-morenos,1,880,Group,,,Os Morenos
sing,os-morenos,10,8891,Group,,,Os Morenos
song,os-morenos,1,1030,Group,,,Os Morenos
expensive,os-morenos,15,2089,Group,,,Os Morenos
to marry,os-morenos,3,2147,Group,,,Os Morenos
certain,os-morenos,1,522,Group,,,Os Morenos
right,os-morenos,2,571,Group,,,Os Morenos
to arrive,os-morenos,14,4489,Group,,,Os Morenos
full,os-morenos,2,743,Group,,,Os Morenos
cry,os-morenos,3,4386,Group,,,Os Morenos
floor,os-morenos,4,1037,Group,,,Os Morenos
City,os-morenos,1,1002,Group,,,Os Morenos
thing,os-morenos,8,2410,Group,,,Os Morenos
eat,os-morenos,2,4536,Group,,,Os Morenos
with me,os-morenos,18,1583,Group,,,Os Morenos
how,os-morenos,10,3838,Group,,,Os Morenos
to meet,os-morenos,1,878,Group,,,Os Morenos
get,os-morenos,2,767,Group,,,Os Morenos
tell,os-morenos,13,1269,Group,,,Os Morenos
color,os-morenos,5,821,Group,,,Os Morenos
heart,os-morenos,16,6266,Group,,,Os Morenos
body,os-morenos,11,1523,Group,,,Os Morenos
run,os-morenos,2,1081,Group,,,Os Morenos
kid,os-morenos,2,708,Group,,,Os Morenos
sky,os-morenos,3,2061,Group,,,Os Morenos
to dance,os-morenos,2,1429,Group,,,Os Morenos
inside,os-morenos,22,1212,Group,,,Os Morenos
later,os-morenos,4,1839,Group,,,Os Morenos
Wish,os-morenos,1,1051,Group,,,Os Morenos
undo,os-morenos,2,554,Group,,,Os Morenos
God,os-morenos,1,3257,Group,,,Os Morenos
duty,os-morenos,2,955,Group,,,Os Morenos
day,os-morenos,7,4842,Group,,,Os Morenos
cash,os-morenos,1,680,Group,,,Os Morenos
to say,os-morenos,7,8012,Group,,,Os Morenos
candy,os-morenos,1,690,Group,,,Os Morenos
ache,os-morenos,1,2290,Group,,,Os Morenos
although,os-morenos,7,1492,Group,,,Os Morenos
emotion,os-morenos,1,671,Group,,,Os Morenos
delight,os-morenos,4,514,Group,,,Os Morenos
meet,os-morenos,3,2135,Group,,,Os Morenos
understand,os-morenos,3,970,Group,,,Os Morenos
deliver,os-morenos,3,774,Group,,,Os Morenos
err,os-morenos,2,872,Group,,,Os Morenos
wait,os-morenos,3,1753,Group,,,Os Morenos
forget,os-morenos,4,2291,Group,,,Os Morenos
exist,os-morenos,1,1025,Group,,,Os Morenos
speak,os-morenos,9,2676,Group,,,Os Morenos
fail,os-morenos,1,940,Group,,,Os Morenos
favor,os-morenos,1,665,Group,,,Os Morenos
happy,os-morenos,10,2585,Group,,,Os Morenos
party,os-morenos,1,808,Group,,,Os Morenos
end,os-morenos,3,1834,Group,,,Os Morenos
flower,os-morenos,2,1265,Group,,,Os Morenos
front,os-morenos,1,637,Group,,,Os Morenos
to merge,os-morenos,1,635,Group,,,Os Morenos
faith,os-morenos,4,861,Group,,,Os Morenos
to win,os-morenos,2,720,Group,,,Os Morenos
people,os-morenos,23,5724,Group,,,Os Morenos
like,os-morenos,6,2259,Group,,,Os Morenos
big,os-morenos,15,1626,Group,,,Os Morenos
story,os-morenos,2,728,Group,,,Os Morenos
today,os-morenos,2,2878,Group,,,Os Morenos
hour,os-morenos,9,2096,Group,,,Os Morenos
equal,os-morenos,4,658,Group,,,Os Morenos
acquaint,os-morenos,4,1032,Group,,,Os Morenos
never,os-morenos,1,638,Group,,,Os Morenos
way,os-morenos,7,1733,Group,,,Os Morenos
to play,os-morenos,4,1562,Group,,,Os Morenos
together,os-morenos,2,755,Group,,,Os Morenos
to swear,os-morenos,3,789,Group,,,Os Morenos
side,os-morenos,2,1321,Group,,,Os Morenos
ilk,os-morenos,1,590,Group,,,Os Morenos
to remember,os-morenos,1,1250,Group,,,Os Morenos
take along,os-morenos,1,2918,Group,,,Os Morenos
turn on,os-morenos,2,835,Group,,,Os Morenos
beautiful,os-morenos,8,843,Group,,,Os Morenos
pretty,os-morenos,3,954,Group,,,Os Morenos
Crazy,os-morenos,5,1032,Group,,,Os Morenos
moon,os-morenos,1,1323,Group,,,Os Morenos
place,os-morenos,8,1602,Group,,,Os Morenos
sparkle,os-morenos,1,1704,Group,,,Os Morenos
madrugar,os-morenos,2,674,Group,,,Os Morenos
bad,os-morenos,1,1934,Group,,,Os Morenos
sea,os-morenos,11,2991,Group,,,Os Morenos
to kill,os-morenos,2,1245,Group,,,Os Morenos
fear,os-morenos,5,979,Group,,,Os Morenos
best,os-morenos,4,1360,Group,,,Os Morenos
boy,os-morenos,4,1627,Group,,,Os Morenos
to lie,os-morenos,3,855,Group,,,Os Morenos
same,os-morenos,3,2388,Group,,,Os Morenos
to mix,os-morenos,4,533,Group,,,Os Morenos
thousand,os-morenos,3,621,Group,,,Os Morenos
time,os-morenos,4,820,Group,,,Os Morenos
to live,os-morenos,1,1152,Group,,,Os Morenos
dark skinned,os-morenos,2,931,Group,,,Os Morenos
to die,os-morenos,5,2666,Group,,,Os Morenos
Show,os-morenos,11,717,Group,,,Os Morenos
boy,os-morenos,2,716,Group,,,Os Morenos
change,os-morenos,3,1098,Group,,,Os Morenos
world,os-morenos,14,3522,Group,,,Os Morenos
hand,os-morenos,2,2300,Group,,,Os Morenos
to fall in love,os-morenos,3,737,Group,,,Os Morenos
deny,os-morenos,1,1206,Group,,,Os Morenos
nobody,os-morenos,2,3085,Group,,,Os Morenos
night,os-morenos,6,2864,Group,,,Os Morenos
Name,os-morenos,1,928,Group,,,Os Morenos
new,os-morenos,1,1685,Group,,,Os Morenos
Never,os-morenos,3,2565,Group,,,Os Morenos
to look,os-morenos,39,4919,Group,,,Os Morenos
eye,os-morenos,3,1668,Group,,,Os Morenos
wave,os-morenos,3,683,Group,,,Os Morenos
other,os-morenos,4,2805,Group,,,Os Morenos
listen,os-morenos,1,1639,Group,,,Os Morenos
pagoda,os-morenos,3,658,Group,,,Os Morenos
passion,os-morenos,8,1591,Group,,,Os Morenos
word,os-morenos,1,583,Group,,,Os Morenos
stop,os-morenos,1,1510,Group,,,Os Morenos
seem,os-morenos,2,793,Group,,,Os Morenos
to spend,os-morenos,16,4368,Group,,,Os Morenos
peace,os-morenos,4,1855,Group,,,Os Morenos
ask,os-morenos,7,2118,Group,,,Os Morenos
take,os-morenos,2,1843,Group,,,Os Morenos
suborn,os-morenos,4,1462,Group,,,Os Morenos
fur,os-morenos,1,598,Group,,,Os Morenos
sorrow,os-morenos,2,1260,Group,,,Os Morenos
think,os-morenos,4,2418,Group,,,Os Morenos
lose,os-morenos,4,2443,Group,,,Os Morenos
to forgive,os-morenos,1,606,Group,,,Os Morenos
forgiveness,os-morenos,2,586,Group,,,Os Morenos
near,os-morenos,2,647,Group,,,Os Morenos
poor,os-morenos,1,635,Group,,,Os Morenos
power,os-morenos,21,7634,Group,,,Os Morenos
portela,os-morenos,2,616,Group,,,Os Morenos
little,os-morenos,3,1124,Group,,,Os Morenos
people,os-morenos,1,1256,Group,,,Os Morenos
pleasure,os-morenos,1,1042,Group,,,Os Morenos
need,os-morenos,5,2443,Group,,,Os Morenos
black,os-morenos,6,740,Group,,,Os Morenos
first,os-morenos,2,882,Group,,,Os Morenos
Search for,os-morenos,2,2198,Group,,,Os Morenos
to test,os-morenos,1,581,Group,,,Os Morenos
which,os-morenos,2,654,Group,,,Os Morenos
quantum,os-morenos,1,531,Group,,,Os Morenos
almost,os-morenos,1,764,Group,,,Os Morenos
reason,os-morenos,1,1038,Group,,,Os Morenos
chorus,os-morenos,1,1021,Group,,,Os Morenos
suddenly,os-morenos,6,1108,Group,,,Os Morenos
River,os-morenos,5,758,Group,,,Os Morenos
to laugh,os-morenos,2,839,Group,,,Os Morenos
rotate,os-morenos,1,884,Group,,,Os Morenos
to roll,os-morenos,1,626,Group,,,Os Morenos
Rosar,os-morenos,4,725,Group,,,Os Morenos
to samba,os-morenos,16,6306,Group,,,Os Morenos
Holy,os-morenos,1,780,Group,,,Os Morenos
miss,os-morenos,12,2670,Group,,,Os Morenos
follow,os-morenos,1,771,Group,,,Os Morenos
ever,os-morenos,7,3360,Group,,,Os Morenos
to feel,os-morenos,5,3125,Group,,,Os Morenos
to suffer,os-morenos,1,2090,Group,,,Os Morenos
Sun,os-morenos,4,2154,Group,,,Os Morenos
loneliness,os-morenos,1,878,Group,,,Os Morenos
sound,os-morenos,1,643,Group,,,Os Morenos
to dream,os-morenos,4,2462,Group,,,Os Morenos
dream,os-morenos,2,1098,Group,,,Os Morenos
to smile,os-morenos,1,1303,Group,,,Os Morenos
smile,os-morenos,4,896,Group,,,Os Morenos
to sweat,os-morenos,13,3445,Group,,,Os Morenos
time,os-morenos,5,3470,Group,,,Os Morenos
to try,os-morenos,6,1107,Group,,,Os Morenos
touch,os-morenos,3,1207,Group,,,Os Morenos
to take,os-morenos,3,897,Group,,,Os Morenos
sadness,os-morenos,2,1071,Group,,,Os Morenos
worth,os-morenos,6,1283,Group,,,Os Morenos
old,os-morenos,2,1101,Group,,,Os Morenos
blow,os-morenos,3,911,Group,,,Os Morenos
to see,os-morenos,20,9632,Group,,,Os Morenos
truth,os-morenos,4,1075,Group,,,Os Morenos
life,os-morenos,12,6401,Group,,,Os Morenos
to live,os-morenos,4,4828,Group,,,Os Morenos
fly,os-morenos,1,593,Group,,,Os Morenos
come back,os-morenos,4,3429,Group,,,Os Morenos
will,os-morenos,2,833,Group,,,Os Morenos
voice,os-morenos,5,1099,Group,,,Os Morenos
to hug,os-travessos,25,742,Group,,,Os Travessos
Open,os-travessos,6,912,Group,,,Os Travessos
to finish,os-travessos,33,1832,Group,,,Os Travessos
find,os-travessos,19,1151,Group,,,Os Travessos
happen,os-travessos,29,929,Group,,,Os Travessos
wake up,os-travessos,10,698,Group,,,Os Travessos
to believe,os-travessos,17,756,Group,,,Os Travessos
bye,os-travessos,6,801,Group,,,Os Travessos
now,os-travessos,53,2881,Group,,,Os Travessos
happiness,os-travessos,6,1494,Group,,,Os Travessos
any,os-travessos,5,538,Group,,,Os Travessos
almo,os-travessos,1,613,Group,,,Os Travessos
high,os-travessos,3,649,Group,,,Os Travessos
in addition,os-travessos,8,940,Group,,,Os Travessos
tomorrow,os-travessos,1,1094,Group,,,Os Travessos
love,os-travessos,195,9816,Group,,,Os Travessos
cozying,os-travessos,9,701,Group,,,Os Travessos
friend,os-travessos,8,635,Group,,,Os Travessos
love,os-travessos,496,31458,Group,,,Os Travessos
walk,os-travessos,13,1990,Group,,,Os Travessos
year,os-travessos,1,667,Group,,,Os Travessos
love,os-travessos,17,714,Group,,,Os Travessos
only,os-travessos,4,538,Group,,,Os Travessos
learn,os-travessos,5,704,Group,,,Os Travessos
air,os-travessos,7,778,Group,,,Os Travessos
to swing,os-travessos,8,668,Group,,,Os Travessos
to knock,os-travessos,15,1694,Group,,,Os Travessos
batucar,os-travessos,1,526,Group,,,Os Travessos
drink,os-travessos,1,983,Group,,,Os Travessos
kiss,os-travessos,42,1982,Group,,,Os Travessos
beautiful,os-travessos,1,561,Group,,,Os Travessos
mouth,os-travessos,8,1198,Group,,,Os Travessos
trundle,os-travessos,3,545,Group,,,Os Travessos
Good,os-travessos,31,3691,Group,,,Os Travessos
beautiful,os-travessos,5,1166,Group,,,Os Travessos
White,os-travessos,1,706,Group,,,Os Travessos
Brazil,os-travessos,1,1094,Group,,,Os Travessos
Brazilian,os-travessos,3,549,Group,,,Os Travessos
arm,os-travessos,4,799,Group,,,Os Travessos
fight,os-travessos,12,610,Group,,,Os Travessos
shine,os-travessos,3,921,Group,,,Os Travessos
to play,os-travessos,12,742,Group,,,Os Travessos
search,os-travessos,2,674,Group,,,Os Travessos
head,os-travessos,5,760,Group,,,Os Travessos
to fall,os-travessos,10,1544,Group,,,Os Travessos
silence,os-travessos,2,549,Group,,,Os Travessos
heat,os-travessos,10,629,Group,,,Os Travessos
walk,os-travessos,12,1179,Group,,,Os Travessos
weary,os-travessos,20,880,Group,,,Os Travessos
sing,os-travessos,14,8891,Group,,,Os Travessos
song,os-travessos,14,1030,Group,,,Os Travessos
expensive,os-travessos,37,2089,Group,,,Os Travessos
to marry,os-travessos,9,2147,Group,,,Os Travessos
certain,os-travessos,7,522,Group,,,Os Travessos
Call,os-travessos,7,1650,Group,,,Os Travessos
to arrive,os-travessos,72,4489,Group,,,Os Travessos
full,os-travessos,7,743,Group,,,Os Travessos
cry,os-travessos,44,4386,Group,,,Os Travessos
rain,os-travessos,9,635,Group,,,Os Travessos
floor,os-travessos,11,1037,Group,,,Os Travessos
top,os-travessos,16,979,Group,,,Os Travessos
thing,os-travessos,28,2410,Group,,,Os Travessos
eat,os-travessos,54,4536,Group,,,Os Travessos
with me,os-travessos,42,1583,Group,,,Os Travessos
how,os-travessos,24,3838,Group,,,Os Travessos
to meet,os-travessos,13,878,Group,,,Os Travessos
get,os-travessos,22,767,Group,,,Os Travessos
tell,os-travessos,19,1269,Group,,,Os Travessos
color,os-travessos,3,821,Group,,,Os Travessos
heart,os-travessos,134,6266,Group,,,Os Travessos
body,os-travessos,18,1523,Group,,,Os Travessos
run,os-travessos,9,1081,Group,,,Os Travessos
kid,os-travessos,6,708,Group,,,Os Travessos
take care,os-travessos,7,514,Group,,,Os Travessos
sky,os-travessos,3,2061,Group,,,Os Travessos
to dance,os-travessos,10,1429,Group,,,Os Travessos
inside,os-travessos,24,1212,Group,,,Os Travessos
later,os-travessos,18,1839,Group,,,Os Travessos
since,os-travessos,6,562,Group,,,Os Travessos
Wish,os-travessos,20,1051,Group,,,Os Travessos
earmark,os-travessos,8,562,Group,,,Os Travessos
God,os-travessos,8,3257,Group,,,Os Travessos
duty,os-travessos,4,955,Group,,,Os Travessos
day,os-travessos,58,4842,Group,,,Os Travessos
cash,os-travessos,1,680,Group,,,Os Travessos
to say,os-travessos,153,8012,Group,,,Os Travessos
candy,os-travessos,6,690,Group,,,Os Travessos
hurt,os-travessos,17,639,Group,,,Os Travessos
owner,os-travessos,4,564,Group,,,Os Travessos
ache,os-travessos,25,2290,Group,,,Os Travessos
to sleep,os-travessos,6,868,Group,,,Os Travessos
although,os-travessos,15,1492,Group,,,Os Travessos
emotion,os-travessos,5,671,Group,,,Os Travessos
delight,os-travessos,2,514,Group,,,Os Travessos
meet,os-travessos,53,2135,Group,,,Os Travessos
understand,os-travessos,31,970,Group,,,Os Travessos
get in,os-travessos,16,1652,Group,,,Os Travessos
deliver,os-travessos,12,774,Group,,,Os Travessos
err,os-travessos,27,872,Group,,,Os Travessos
to hopes,os-travessos,3,622,Group,,,Os Travessos
wait,os-travessos,15,1753,Group,,,Os Travessos
forget,os-travessos,55,2291,Group,,,Os Travessos
exist,os-travessos,13,1025,Group,,,Os Travessos
speak,os-travessos,62,2676,Group,,,Os Travessos
fail,os-travessos,14,940,Group,,,Os Travessos
miss,os-travessos,24,925,Group,,,Os Travessos
favor,os-travessos,4,665,Group,,,Os Travessos
happiness,os-travessos,18,1110,Group,,,Os Travessos
happy,os-travessos,52,2585,Group,,,Os Travessos
party,os-travessos,2,808,Group,,,Os Travessos
end,os-travessos,50,1834,Group,,,Os Travessos
flower,os-travessos,1,1265,Group,,,Os Travessos
fire,os-travessos,18,724,Group,,,Os Travessos
strong,os-travessos,9,723,Group,,,Os Travessos
to force,os-travessos,5,658,Group,,,Os Travessos
front,os-travessos,3,637,Group,,,Os Travessos
to run away,os-travessos,8,584,Group,,,Os Travessos
to merge,os-travessos,7,635,Group,,,Os Travessos
faith,os-travessos,1,861,Group,,,Os Travessos
to win,os-travessos,3,720,Group,,,Os Travessos
people,os-travessos,109,5724,Group,,,Os Travessos
like,os-travessos,67,2259,Group,,,Os Travessos
big,os-travessos,9,1626,Group,,,Os Travessos
shout out,os-travessos,4,642,Group,,,Os Travessos
save,os-travessos,10,807,Group,,,Os Travessos
story,os-travessos,13,728,Group,,,Os Travessos
today,os-travessos,34,2878,Group,,,Os Travessos
men,os-travessos,5,1384,Group,,,Os Travessos
hour,os-travessos,21,2096,Group,,,Os Travessos
equal,os-travessos,10,658,Group,,,Os Travessos
illusion,os-travessos,6,847,Group,,,Os Travessos
acquaint,os-travessos,7,1032,Group,,,Os Travessos
never,os-travessos,7,638,Group,,,Os Travessos
way,os-travessos,63,1733,Group,,,Os Travessos
to play,os-travessos,21,1562,Group,,,Os Travessos
get together,os-travessos,4,544,Group,,,Os Travessos
together,os-travessos,4,755,Group,,,Os Travessos
to swear,os-travessos,16,789,Group,,,Os Travessos
side,os-travessos,17,1321,Group,,,Os Travessos
ilk,os-travessos,54,590,Group,,,Os Travessos
to remember,os-travessos,20,1250,Group,,,Os Travessos
to read,os-travessos,1,934,Group,,,Os Travessos
take along,os-travessos,24,2918,Group,,,Os Travessos
turn on,os-travessos,39,835,Group,,,Os Travessos
beautiful,os-travessos,24,843,Group,,,Os Travessos
pretty,os-travessos,7,954,Group,,,Os Travessos
far,os-travessos,17,852,Group,,,Os Travessos
Crazy,os-travessos,26,1032,Group,,,Os Travessos
love,os-travessos,4,637,Group,,,Os Travessos
moon,os-travessos,7,1323,Group,,,Os Travessos
place,os-travessos,22,1602,Group,,,Os Travessos
to fight,os-travessos,3,636,Group,,,Os Travessos
sparkle,os-travessos,11,1704,Group,,,Os Travessos
madrugar,os-travessos,15,674,Group,,,Os Travessos
larger,os-travessos,6,628,Group,,,Os Travessos
bad,os-travessos,25,1934,Group,,,Os Travessos
to send,os-travessos,15,1580,Group,,,Os Travessos
morning,os-travessos,1,794,Group,,,Os Travessos
sea,os-travessos,8,2991,Group,,,Os Travessos
to kill,os-travessos,5,1245,Group,,,Os Travessos
fear,os-travessos,14,979,Group,,,Os Travessos
best,os-travessos,25,1360,Group,,,Os Travessos
boy,os-travessos,7,1627,Group,,,Os Travessos
to lie,os-travessos,9,855,Group,,,Os Travessos
to deserve,os-travessos,14,621,Group,,,Os Travessos
same,os-travessos,38,2388,Group,,,Os Travessos
to mix,os-travessos,3,533,Group,,,Os Travessos
thousand,os-travessos,5,621,Group,,,Os Travessos
time,os-travessos,10,820,Group,,,Os Travessos
to live,os-travessos,1,1152,Group,,,Os Travessos
to die,os-travessos,7,2666,Group,,,Os Travessos
Show,os-travessos,10,717,Group,,,Os Travessos
change,os-travessos,37,1098,Group,,,Os Travessos
woman,os-travessos,3,2994,Group,,,Os Travessos
world,os-travessos,25,3522,Group,,,Os Travessos
hand,os-travessos,15,2300,Group,,,Os Travessos
to fall in love,os-travessos,26,737,Group,,,Os Travessos
born,os-travessos,12,1401,Group,,,Os Travessos
deny,os-travessos,7,1206,Group,,,Os Travessos
nobody,os-travessos,76,3085,Group,,,Os Travessos
night,os-travessos,19,2864,Group,,,Os Travessos
Name,os-travessos,7,928,Group,,,Os Travessos
new,os-travessos,16,1685,Group,,,Os Travessos
Never,os-travessos,55,2565,Group,,,Os Travessos
to look,os-travessos,71,4919,Group,,,Os Travessos
eye,os-travessos,23,1668,Group,,,Os Travessos
wave,os-travessos,1,683,Group,,,Os Travessos
other,os-travessos,40,2805,Group,,,Os Travessos
listen,os-travessos,32,1639,Group,,,Os Travessos
pay,os-travessos,4,832,Group,,,Os Travessos
passion,os-travessos,30,1591,Group,,,Os Travessos
word,os-travessos,7,583,Group,,,Os Travessos
stop,os-travessos,27,1510,Group,,,Os Travessos
seem,os-travessos,8,793,Group,,,Os Travessos
leave,os-travessos,15,1209,Group,,,Os Travessos
to spend,os-travessos,43,4368,Group,,,Os Travessos
peace,os-travessos,19,1855,Group,,,Os Travessos
ask,os-travessos,30,2118,Group,,,Os Travessos
take,os-travessos,25,1843,Group,,,Os Travessos
suborn,os-travessos,13,1462,Group,,,Os Travessos
fur,os-travessos,1,598,Group,,,Os Travessos
sorrow,os-travessos,12,1260,Group,,,Os Travessos
think,os-travessos,58,2418,Group,,,Os Travessos
lose,os-travessos,49,2443,Group,,,Os Travessos
to forgive,os-travessos,8,606,Group,,,Os Travessos
forgiveness,os-travessos,8,586,Group,,,Os Travessos
to ask,os-travessos,8,563,Group,,,Os Travessos
near,os-travessos,8,647,Group,,,Os Travessos
power,os-travessos,125,7634,Group,,,Os Travessos
bear,os-travessos,19,690,Group,,,Os Travessos
little,os-travessos,8,1124,Group,,,Os Travessos
people,os-travessos,1,1256,Group,,,Os Travessos
pleasure,os-travessos,20,1042,Group,,,Os Travessos
need,os-travessos,63,2443,Group,,,Os Travessos
black,os-travessos,1,740,Group,,,Os Travessos
first,os-travessos,5,882,Group,,,Os Travessos
Search for,os-travessos,69,2198,Group,,,Os Travessos
to test,os-travessos,11,581,Group,,,Os Travessos
which,os-travessos,3,654,Group,,,Os Travessos
quantum,os-travessos,14,531,Group,,,Os Travessos
almost,os-travessos,10,764,Group,,,Os Travessos
break,os-travessos,2,614,Group,,,Os Travessos
reason,os-travessos,11,1038,Group,,,Os Travessos
chorus,os-travessos,68,1021,Group,,,Os Travessos
King,os-travessos,1,998,Group,,,Os Travessos
suddenly,os-travessos,14,1108,Group,,,Os Travessos
to laugh,os-travessos,7,839,Group,,,Os Travessos
rotate,os-travessos,2,884,Group,,,Os Travessos
to roll,os-travessos,11,626,Group,,,Os Travessos
Rosar,os-travessos,2,725,Group,,,Os Travessos
collapse,os-travessos,6,868,Group,,,Os Travessos
samba,os-travessos,2,1269,Group,,,Os Travessos
to samba,os-travessos,1,6306,Group,,,Os Travessos
Holy,os-travessos,5,780,Group,,,Os Travessos
miss,os-travessos,43,2670,Group,,,Os Travessos
follow,os-travessos,14,771,Group,,,Os Travessos
ever,os-travessos,84,3360,Group,,,Os Travessos
Mr,os-travessos,1,1178,Group,,,Os Travessos
to feel,os-travessos,103,3125,Group,,,Os Travessos
remain,os-travessos,3,608,Group,,,Os Travessos
to suffer,os-travessos,30,2090,Group,,,Os Travessos
Sun,os-travessos,5,2154,Group,,,Os Travessos
loneliness,os-travessos,14,878,Group,,,Os Travessos
sound,os-travessos,6,643,Group,,,Os Travessos
to dream,os-travessos,46,2462,Group,,,Os Travessos
dream,os-travessos,23,1098,Group,,,Os Travessos
to smile,os-travessos,38,1303,Group,,,Os Travessos
smile,os-travessos,22,896,Group,,,Os Travessos
to sweat,os-travessos,51,3445,Group,,,Os Travessos
move up,os-travessos,1,519,Group,,,Os Travessos
delay,os-travessos,5,608,Group,,,Os Travessos
time,os-travessos,59,3470,Group,,,Os Travessos
to try,os-travessos,35,1107,Group,,,Os Travessos
touch,os-travessos,30,1207,Group,,,Os Travessos
to take,os-travessos,7,897,Group,,,Os Travessos
to work,os-travessos,1,743,Group,,,Os Travessos
bring,os-travessos,8,1614,Group,,,Os Travessos
sad,os-travessos,13,1063,Group,,,Os Travessos
sadness,os-travessos,2,1071,Group,,,Os Travessos
worth,os-travessos,13,1283,Group,,,Os Travessos
old,os-travessos,3,1101,Group,,,Os Travessos
blow,os-travessos,4,911,Group,,,Os Travessos
to see,os-travessos,179,9632,Group,,,Os Travessos
truth,os-travessos,22,1075,Group,,,Os Travessos
life,os-travessos,52,6401,Group,,,Os Travessos
turn,os-travessos,14,1109,Group,,,Os Travessos
to live,os-travessos,67,4828,Group,,,Os Travessos
come back,os-travessos,46,3429,Group,,,Os Travessos
